,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
40,BBM Saitama Seibu Lions Authentic Autographs,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
41,BBM Tohoku Rakuten Golden Eagles Authentic Autographs,2023,0,0,–,0,0,0,0,0,0,0,2,0,2
42,BBM Tokyo Yakult Swallows,2023,0,0,–,0,0,0,0,0,0,1,1,5,7
43,BBM Tokyo Yakult Swallows Esperanza,2023,0,0,–,0,0,0,0,0,0,0,4,0,4
44,BBM Tokyo Yakult Swallows Stellar,2023,0,0,–,0,0,0,0,0,0,0,1,3,4
45,BBM Tokyo Yakult Swallows the Moment of 56,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
46,BBM Yomiuri Giants,2023,0,0,–,0,0,0,0,0,0,2,1,1,4
47,BBM Yomiuri Giants Esperanza,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
48,BBM Yomiuri Giants Giants Pride 2023,2023,0,0,–,0,0,0,0,0,0,1,1,0,2
49,Bowman,2023,7,0,–,1,0,3,5,27,76,628,"1,699","1,451","3,897"
50,Bowman 1st Edition,2023,2,0,–,0,0,0,2,10,13,91,564,899,"1,581"
51,Bowman 1st Edition Bowman Chrome Prospector's Special Die-Cut,2023,0,0,–,0,0,0,0,0,1,1,3,4,9
52,Bowman 1st Edition Chrome Autographs,2023,0,0,–,0,0,0,0,0,0,6,17,14,37
53,Bowman 75 Years of Bowman Buyback Autographs,2023,3,0,–,0,0,0,1,2,1,1,1,1,10
54,Bowman Chrome,2023,0,0,–,0,0,0,0,1,0,4,47,87,139
55,Bowman Chrome 2022 AFL Fall Stars,2023,0,0,–,0,0,0,0,0,0,0,0,3,3
56,Bowman Chrome 2022 AFL Fall Stars Autograph,2023,0,0,–,0,0,0,0,0,0,0,1,2,3
57,Bowman Chrome 2022 AFL Relics,2023,0,0,–,0,0,0,0,1,0,0,1,0,2
58,Bowman Chrome Bowman Ascensions,2023,0,0,–,0,0,0,0,0,0,1,12,5,18
59,Bowman Chrome Bowman Ascensions Autograph,2023,0,0,–,0,0,0,0,1,0,3,6,4,14
60,Bowman Chrome Bowman Iconic,2023,0,0,–,0,0,0,0,0,0,0,5,4,9
61,Bowman Chrome Bowman Invicta,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
62,Bowman Chrome Bowman Invicta Autograph,2023,0,0,–,0,0,0,0,0,0,2,1,0,3
63,Bowman Chrome Chrome Autograph Relic,2023,0,0,–,0,0,0,0,0,0,2,0,0,2
64,Bowman Chrome Chrome Rookie Autograph,2023,1,0,–,0,0,0,0,0,0,1,8,13,23
65,Bowman Chrome It Came for the League,2023,0,0,–,0,0,0,0,1,0,1,10,5,17
66,Bowman Chrome Mega Box Autographs,2023,0,0,–,0,0,0,0,0,0,1,6,9,16
67,Bowman Chrome National,2023,0,0,–,0,0,0,1,11,29,100,731,"1,076","1,948"
68,Bowman Chrome Prime Chrome Signature,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
69,Bowman Chrome Prospect Autographs,2023,43,0,–,1,2,6,21,99,131,932,"8,506","14,405","24,146"
70,Bowman Chrome Prospect Process,2023,0,0,–,0,0,0,0,0,0,0,0,4,4
71,Bowman Chrome Prospect Retrofractor Autograph,2023,0,0,–,0,0,0,0,0,0,1,2,2,5
72,Bowman Chrome Prospects,2023,112,1,–,1,4,16,33,130,163,"1,191","10,799","15,546","27,996"
73,Bowman Chrome Rookie Autographs,2023,3,0,–,0,0,1,0,2,5,19,199,355,584
74,Bowman Chrome World Baseball Classic Flag,2023,0,0,–,0,0,0,0,1,0,2,13,15,31
75,Bowman Invicta,2023,1,0,–,0,0,0,0,3,1,37,173,94,309
76,Bowman Mega Box Chrome,2023,14,0,–,0,0,5,15,35,46,196,"2,859","11,955","15,125"
77,Bowman Mega Box Chrome Prospect Autographs,2023,1,0,–,0,2,0,1,3,6,44,506,"1,042","1,605"
78,Bowman Mega Box Chrome Rookies Autographs,2023,1,0,–,0,0,0,0,2,0,3,17,59,82
79,Bowman Mega Box Chrome Roy Favorites,2023,0,0,–,0,0,0,2,1,7,27,337,839,"1,213"
80,Bowman Mega Box Chrome Sights on September,2023,0,0,–,0,0,0,1,0,3,14,124,258,400
81,Bowman Modern Prospect Autographs,2023,0,0,–,0,0,0,0,0,0,0,5,4,9
82,Bowman Modern Prospects,2023,6,0,–,0,0,0,1,3,8,39,539,"1,785","2,381"
83,Bowman Paper Prospects,2023,37,0,–,0,1,1,6,38,89,760,"2,184","1,951","5,067"
84,Bowman Platinum New Money,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
85,Bowman Platinum Platinum Pairings,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
86,Bowman Platinum Platinum Patches,2023,0,0,–,0,0,0,0,0,1,0,0,0,1
87,Bowman Platinum Platinum Pieces Autograph Relic,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
88,Bowman Platinum Platinum Plating Die-Cuts,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
89,Bowman Prospect Autographs,2023,0,0,–,0,0,2,2,12,24,59,86,66,251
90,Bowman Rookie of the Year Favorites,2023,0,0,–,0,0,3,8,7,10,68,583,"1,818","2,497"
