,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
268,Topps Allen & Ginter Framed Mini Autograph,2023,0,0,–,0,0,0,0,0,0,0,3,0,3
269,Topps Allen & Ginter Framed Mini Non Baseball Autographs,2023,0,0,–,0,0,0,1,2,0,2,7,2,14
270,Topps Allen & Ginter Framed Mini Relic of Legend,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
271,Topps Allen & Ginter Mini Framed Relic,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
272,Topps Allen & Ginter X,2023,0,0,–,0,0,0,0,0,0,1,5,1,7
273,Topps All-Star Game Wrapper Redemption,2023,0,0,–,0,0,0,0,0,0,0,7,42,49
274,Topps Also Known As,2023,0,0,–,0,0,0,1,3,5,34,56,5,104
275,Topps Archives Signature Series,2023,12,0,–,0,0,0,0,11,16,55,112,65,271
276,Topps Autograph Promo,2023,0,0,–,0,0,0,0,0,0,0,0,4,4
277,Topps Baseball Stars Autographs,2023,5,0,–,0,0,0,0,11,8,141,449,784,"1,398"
278,Topps Baseball Stars Dual Autographs,2023,0,0,–,0,0,1,0,0,0,5,15,5,26
279,Topps Big League,2023,1,0,–,0,0,0,1,1,5,87,440,443,978
280,Topps Big League 8-Bit Ballers,2023,0,0,–,0,0,0,1,4,0,20,107,107,239
281,Topps Big League Big League Autographs,2023,1,0,–,0,0,0,0,1,0,3,27,14,46
282,Topps Big League City Slickers,2023,0,0,–,0,0,0,0,1,1,20,30,31,83
283,Topps Big League Game Day Drip,2023,0,0,–,0,0,0,0,0,0,1,9,11,21
284,Topps Big League Hobby Influencer,2023,2,0,–,0,0,0,0,0,0,1,20,59,82
285,Topps Big League Let's Go Chrome,2023,0,0,–,0,0,0,0,0,0,1,1,20,22
286,Topps Big League Mascots,2023,0,0,–,0,0,0,0,0,1,1,6,5,13
287,Topps Big League Mascots Mania,2023,0,0,–,0,0,0,0,0,0,0,5,2,7
288,Topps Big League Opening Act Autographs,2023,0,0,–,0,0,0,2,2,9,61,105,18,197
289,Topps Big League Roll Call Wildstyle Edition,2023,0,0,–,0,0,0,0,0,2,21,104,105,232
290,Topps Big League Topps Big Leaguers,2023,0,0,–,0,0,0,1,7,6,20,86,88,208
291,Topps Chrome,2023,5,0,–,0,1,6,24,88,85,661,"5,201","8,924","14,995"
292,Topps Chrome 1988 Topps Baseball,2023,0,0,–,0,0,0,0,1,3,24,161,254,443
293,Topps Chrome 1988 Topps Baseball Autograph,2023,0,0,–,0,0,0,0,1,0,0,7,9,17
294,Topps Chrome 2022 MVP Buybacks,2023,0,0,–,0,0,0,0,1,0,0,7,9,17
295,Topps Chrome Dual Rookie Autographs,2023,0,0,–,0,0,0,1,0,0,1,5,3,10
296,Topps Chrome Future Stars,2023,0,0,–,0,0,0,0,4,0,13,79,557,653
297,Topps Chrome Future Stars Autograph,2023,0,0,–,0,0,0,0,0,0,2,9,4,15
298,Topps Chrome Let's Go,2023,0,0,–,0,0,0,0,0,0,0,4,25,29
299,Topps Chrome Lids 1952 Design,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
300,Topps Chrome Lids 2008 Design,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
301,Topps Chrome Logofractor Edition,2023,0,0,–,0,0,0,0,2,1,4,21,73,101
302,Topps Chrome Logofractor Edition Future Stars,2023,0,0,–,0,0,0,0,0,0,0,3,2,5
303,Topps Chrome Logofractor Edition Future Stars Autographs,2023,0,0,–,0,0,0,0,0,0,1,2,0,3
304,Topps Chrome Radiating Rookies,2023,0,0,–,0,0,0,0,4,2,17,147,386,556
305,Topps Chrome Radiating Rookies Autograph,2023,0,0,–,0,0,0,1,1,1,7,20,29,59
306,Topps Chrome Rookie Autograph,2023,7,0,–,0,1,5,6,18,47,227,"2,160","3,132","5,603"
307,Topps Chrome Sapphire,2023,0,0,–,0,0,0,0,0,1,17,68,80,166
308,Topps Chrome Sapphire Sapphire Selections,2023,0,0,–,0,0,0,0,0,0,4,10,11,25
309,Topps Chrome Tacofractor,2023,0,0,–,0,0,0,0,0,0,2,11,4,17
310,Topps Chrome Topps Chrome Authentics Autograph Relic,2023,0,0,–,0,0,0,0,0,0,1,15,3,19
311,Topps Chrome Topps Chrome Authentics Relic,2023,0,0,–,0,0,0,0,0,1,7,25,21,54
312,Topps Chrome Topps Chrome Expose,2023,0,0,–,0,0,0,0,0,0,3,11,12,26
313,Topps Chrome Topps Chrome Legends Autograph,2023,0,0,–,0,0,0,0,0,0,5,12,36,53
314,Topps Chrome Topps Chrome Titans,2023,0,0,–,0,0,0,0,0,0,9,46,410,465
315,Topps Chrome Topps in Technicolor,2023,1,0,–,0,1,0,0,0,0,11,105,555,673
316,Topps Chrome Topps in Technicolor Autograph,2023,3,0,–,0,0,0,0,1,1,7,31,14,57
317,Topps Chrome Ultraviolet All-Stars,2023,0,0,–,0,0,0,1,1,8,20,242,299,571
318,Topps Chrome Ultraviolet All-Stars Autograph,2023,0,0,–,0,0,0,0,2,1,5,49,30,87
319,Topps Chrome Youthquake,2023,0,0,–,0,0,0,0,1,0,5,78,245,329
320,Topps City Connect Commemorative Patch,2023,3,0,–,0,0,1,0,2,4,17,28,17,72
321,Topps Complete Set,2023,0,0,–,0,0,0,2,2,4,13,94,353,468
322,Topps Complete Set All-Star,2023,0,0,–,0,0,0,0,0,0,0,3,8,11
323,Topps Complete Set Chrome Rookie Relic,2023,0,0,–,0,0,0,0,0,0,0,2,0,2
324,Topps Cosmic Chrome,2023,0,0,–,0,0,0,3,14,5,54,198,560,834
325,Topps Cosmic Chrome Cosmic Chrome Autograph,2023,0,0,–,0,0,0,0,0,4,3,27,174,208
326,Topps Cosmic Chrome Extraterrestrial Talent,2023,0,0,–,0,0,1,0,2,1,11,63,85,163
327,Topps Cosmic Chrome Extraterrestrial Talent Autograph,2023,0,0,–,0,0,1,0,0,1,7,49,82,140
328,Topps Cosmic Chrome Launched Into Orbit,2023,0,0,–,0,0,0,0,1,2,7,22,65,97
329,Topps Cosmic Chrome Launched Into Orbit Autograph,2023,0,0,–,0,0,0,0,1,0,0,1,0,2
330,Topps Cosmic Chrome Planetary Pursuit,2023,0,0,–,0,0,0,3,10,4,23,145,207,392
331,Topps Cosmic Chrome Star Clusters,2023,0,0,–,0,0,0,0,1,0,6,30,57,94
332,Topps Cosmic Chrome Stars in the Night,2023,0,0,–,0,0,0,2,2,0,0,52,32,88
333,Topps Cosmic Chrome Stella Nova,2023,0,0,–,0,0,0,2,7,3,21,31,31,95
334,Topps Cosmic Chrome Supernova,2023,0,0,–,0,0,0,0,0,0,1,13,39,53
335,Topps Cosmic Chrome Tacofractor,2023,0,0,–,0,0,0,0,0,0,3,3,0,6
336,Topps Crowning Achievements Commemorative Patch,2023,0,0,–,0,0,0,0,1,1,1,2,1,6
337,Topps Cut Signatures,2023,1,0,–,0,0,0,0,0,1,0,0,0,2
338,Topps Detroit Tigers: Autographs for A Cause,2023,2,0,–,0,0,0,0,0,0,0,0,0,2
339,Topps Dynamic Duals,2023,0,0,–,0,0,0,0,0,1,15,107,440,563
340,Topps Dynamic Duals Bash Battle,2023,0,0,–,0,0,0,0,1,0,1,9,17,28
341,Topps Dynamic Duals Cooperstown Calling,2023,0,0,–,0,0,0,0,0,0,1,3,6,10
342,Topps Dynamic Duals Revered Rookies,2023,0,0,–,0,0,0,0,0,0,3,9,33,45
343,Topps Father's Day Commemorative Team Patch,2023,0,0,–,0,0,1,0,1,4,26,40,6,78
344,Topps Favorite Sons,2023,0,0,–,0,0,0,0,1,6,16,35,20,78
345,Topps Finest,2023,0,0,–,1,0,0,3,4,13,170,"1,338","2,130","3,659"
346,Topps Finest 2000 Topps Finest World's Finest Autographs,2023,0,0,–,0,0,0,0,0,0,1,30,34,65
347,Topps Finest Diamond Finest,2023,0,0,–,0,0,0,0,0,0,3,6,10,19
348,Topps Finest Finest Autographs,2023,3,0,–,1,0,1,1,2,5,112,612,473,"1,210"
349,Topps Finest Finest Headliners,2023,0,0,–,0,0,0,0,0,2,14,81,99,196
350,Topps Finest Finest Headliners Autographs,2023,0,0,–,0,0,0,0,0,0,2,14,7,23
351,Topps Finest Finest Moments Autographs,2023,0,0,–,0,0,0,0,0,0,7,54,32,93
352,Topps Finest Finest Rivalries Die-Cut,2023,0,0,–,0,0,0,0,0,1,1,7,38,47
353,Topps Finest Finest Rivalries Die-Cut Autographs,2023,0,0,–,0,0,0,0,0,0,0,1,1,2
354,Topps Finest Finest Rookies Design Variation Autographs,2023,1,0,–,0,0,0,0,2,1,29,133,74,240
355,Topps Finest Finest Rookies Design Variations,2023,0,0,–,0,0,0,0,0,1,13,140,105,259
356,Topps Finest Headliners,2023,0,0,–,0,0,0,0,0,0,0,2,4,6
357,Topps Finest Let's Go Chrome,2023,0,0,–,0,0,0,0,0,0,1,5,20,26
358,Topps Finest Originals Buyback Autographs,2023,0,0,–,0,0,0,0,0,0,2,2,2,6
359,Topps Game Within the Game,2023,0,0,–,0,0,0,1,0,2,35,126,278,442
360,Topps Gilded Collection,2023,0,0,–,0,0,0,0,0,0,0,5,18,23
361,Topps Gilded Collection Cast in Gold,2023,0,0,–,0,0,0,0,0,0,0,1,2,3
362,Topps Gilded Collection Cut Signatures 1/1,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
363,Topps Gilded Collection Gallery of Gold Autographs,2023,0,0,–,0,0,0,0,0,0,1,2,1,4
364,Topps Gilded Collection Gold Framed Hall of Famers Autographs,2023,0,0,–,0,0,0,0,0,1,0,0,0,1
365,Topps Gilded Collection Topps Chrome Gold Etch Autographs,2023,0,0,–,0,0,0,0,0,0,2,11,35,48
366,Topps Heavy Lumber,2023,0,0,–,0,1,3,5,9,6,53,112,87,276
367,Topps Heritage,2023,4,0,–,1,1,7,6,40,47,268,"2,053","3,272","5,699"
368,Topps Heritage 1974 Mint,2023,0,0,–,0,0,1,0,0,1,2,2,0,6
369,Topps Heritage 1974 Topps Baseball Oversized,2023,0,0,–,0,0,0,1,1,1,0,1,5,9
370,Topps Heritage 1974 Topps Baseball Stamps,2023,0,0,–,0,0,0,1,1,1,13,34,47,97
371,Topps Heritage 1974 Topps Baseball Stamps Relics,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
372,Topps Heritage 1974 Topps Deckle Edge,2023,0,0,–,0,0,0,0,1,0,0,11,4,16
373,Topps Heritage 1974 Topps Deckle Edge Baseball Minis,2023,0,0,–,0,0,0,0,0,0,1,6,10,17
374,Topps Heritage 1974 US Postage Stamp Relics,2023,0,0,–,0,0,0,0,0,0,2,8,0,10
375,Topps Heritage 50th Anniversary Buybacks,2023,0,0,–,0,0,0,0,0,2,0,0,0,2
376,Topps Heritage Baseball Flashbacks,2023,0,0,–,0,0,0,0,0,0,0,2,2,4
377,Topps Heritage Chicago Cubs Season Ticket Holder Team Set,2023,0,0,–,0,0,0,0,0,0,0,3,11,14
378,Topps Heritage Clubhouse Collection Autograph Relics,2023,0,0,–,0,0,0,0,0,1,2,0,0,3
379,Topps Heritage Clubhouse Collection Dual Autograph Relics,2023,0,0,–,0,0,0,0,1,0,0,1,0,2
380,Topps Heritage Clubhouse Collection Dual Relics,2023,0,0,–,0,0,0,0,0,0,2,3,3,8
381,Topps Heritage Clubhouse Collection Relics,2023,0,0,–,0,0,0,3,1,3,22,53,24,106
382,Topps Heritage Clubhouse Collection Triple Relics,2023,0,0,–,0,0,0,0,0,1,0,1,0,2
383,Topps Heritage Flashback Autographed Relics,2023,0,0,–,0,0,0,0,0,1,1,0,0,2
384,Topps Heritage New Age Performers,2023,0,0,–,0,0,0,0,0,0,4,47,137,188
385,Topps Heritage News Flashbacks,2023,0,0,–,0,0,0,0,0,0,0,0,2,2
386,Topps Heritage Real One Autographs,2023,2,0,–,0,0,0,0,2,8,98,385,310,805
387,Topps Heritage Then and Now,2023,0,0,–,0,0,0,0,0,0,0,3,13,16
388,Topps Hidden Gems,2023,0,0,–,0,0,0,0,2,1,3,22,45,73
389,Topps Home Field Advantage,2023,1,0,–,0,0,0,1,5,14,186,990,375,"1,572"
390,Topps Home Run Challenge,2023,0,0,–,0,0,0,0,0,1,5,35,10,51
391,Topps Home Run Challenge Winners April,2023,0,0,–,0,0,0,0,2,2,18,3,0,25
392,Topps Home Run Challenge Winners May,2023,0,0,–,0,0,0,0,0,2,0,0,0,2
393,Topps in the Nameplate Letter Relics,2023,3,0,–,0,0,0,0,2,0,4,2,2,13
394,Topps International Trading Card Day Atlanta Braves,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
395,Topps International Trading Card Day Baltimore Orioles,2023,0,0,–,0,0,0,0,0,0,0,5,24,29
396,Topps International Trading Card Day Cincinnati Reds,2023,0,0,–,0,0,0,0,0,0,0,0,3,3
397,Topps International Trading Card Day Kansas City Royals,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
398,Topps International Trading Card Day los Angeles Angels,2023,0,0,–,0,0,0,0,0,2,0,8,14,24
399,Topps International Trading Card Day los Angeles Dodgers,2023,0,0,–,0,0,0,0,1,0,0,1,5,7
400,Topps International Trading Card Day Minnesota Twins,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
401,Topps International Trading Card Day Seattle Mariners,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
402,Topps International Trading Card Day Texas Rangers,2023,0,0,–,0,0,0,0,0,0,0,0,2,2
403,Topps Legendary Home Field Advantage,2023,0,0,–,0,0,0,0,0,0,11,37,8,56
404,Topps Legends of the Game,2023,0,0,–,0,0,0,0,1,1,16,59,26,103
405,Topps Living,2023,1,0,–,0,0,0,1,1,3,61,854,"2,045","2,966"
406,Topps Major League Material Autographs,2023,2,0,–,0,0,0,0,4,4,9,26,19,64
407,Topps Major League Material Relics,2023,0,0,–,0,0,0,2,4,2,19,89,149,265
408,Topps MLB All-Star Game Commemorative Patch,2023,0,0,–,0,0,0,0,0,0,2,0,2,4
409,Topps National Sports Collectors Convention Question & Answer Autograph,2023,0,0,–,0,0,0,0,0,0,1,2,3,6
410,Topps Now,2023,17,0,–,0,0,0,4,17,27,219,"2,730","20,146","23,160"
411,Topps Now All-World Baseball Classic Team,2023,0,0,–,0,1,0,0,0,1,4,60,278,344
412,Topps Now Card of the Month,2023,0,0,–,0,0,0,0,0,0,0,1,21,22
413,Topps Now MLB All-Star Game Selections,2023,0,0,–,0,0,0,0,0,0,5,27,195,227
414,Topps Now Offseason,2023,0,0,–,0,0,0,0,0,0,0,5,5,10
415,Topps Now Road to Opening Day,2023,0,0,–,0,0,0,0,3,1,28,164,388,584
416,Topps Now Road to Opening Day Autographs,2023,1,0,–,0,0,0,0,2,3,11,81,86,184
417,Topps Now Road to Opening Day Bonus,2023,0,0,–,0,0,0,0,0,0,1,3,64,68
418,Topps Now World Baseball Classic,2023,0,0,–,0,0,0,4,7,16,91,810,"5,973","6,901"
419,Topps Now World Baseball Classic Autograph,2023,0,0,–,0,0,0,0,0,0,0,1,1,2
420,Topps Now World Baseball Classic Champions Team,2023,0,0,–,0,0,0,0,0,0,2,42,394,438
421,Topps Npb Nippon Professional Baseball,2023,0,0,–,0,0,0,0,0,0,0,4,3,7
422,Topps Npb Nippon Professional Baseball 2001 Topps,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
423,Topps Npb Nippon Professional Baseball Autographs,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
424,Topps Npb Nippon Professional Baseball Strenght in Numbers,2023,0,0,–,0,0,0,0,0,0,0,1,1,2
425,Topps One-Two Punch,2023,0,0,–,0,0,0,0,0,0,4,21,34,59
426,Topps One-Two Punch Dual Autographs,2023,0,0,–,0,0,0,0,0,0,2,6,0,8
427,Topps Oversized 1988 Topps League Leaders Boxtoppers,2023,0,0,–,0,0,0,0,3,0,3,5,0,11
428,Topps Oversized 1988 Topps League Leaders Boxtoppers Autographs,2023,0,0,–,0,0,0,0,0,1,0,3,0,4
429,Topps Oversized Topps Record Breakers Boxloader,2023,0,0,–,0,0,0,0,1,1,1,5,0,8
430,Topps Oversized Topps Record Breakers Boxloader Autographs,2023,0,0,–,0,0,0,0,0,0,1,1,0,2
431,Topps Patchwork of the Past Commemorative Patch,2023,0,0,–,0,0,2,1,1,6,14,17,2,43
432,Topps Postseason Performance Autograph Relics,2023,1,0,–,0,0,0,0,0,0,3,14,0,18
433,Topps Postseason Performance Autographs,2023,0,0,–,0,0,0,0,0,0,7,2,0,9
434,Topps Postseason Performance Relics,2023,0,0,–,0,0,0,0,0,0,5,5,0,10
435,Topps Pristine,2023,0,0,–,0,0,1,2,4,6,15,90,418,536
436,Topps Pristine 7 Wonders,2023,0,0,–,0,0,0,0,0,0,2,11,7,20
437,Topps Pristine Around the Diamond Autograph Relic,2023,0,0,–,0,0,0,0,1,0,2,16,25,44
438,Topps Pristine Fresh Faces,2023,0,0,–,0,0,0,0,3,2,1,25,51,82
439,Topps Pristine Fresh Faces Autograph,2023,0,0,–,0,0,0,0,0,1,0,1,21,23
440,"Topps Pristine Going, Going, Gone!",2023,0,0,–,0,0,0,0,0,0,2,14,17,33
441,"Topps Pristine Going, Going, Gone! Autograph",2023,0,0,–,0,0,0,0,0,1,0,1,6,8
442,Topps Pristine Let's Go,2023,0,0,–,0,0,0,0,0,1,1,1,1,4
443,"Topps Pristine Oh, Snap!",2023,0,0,–,0,0,0,3,1,0,5,11,53,73
444,"Topps Pristine Oh, Snap! Autograph",2023,0,0,–,0,0,0,0,0,0,1,7,15,23
445,Topps Pristine Personal Endorsements,2023,0,0,–,0,0,0,0,0,0,0,0,2,2
446,Topps Pristine Popular Demand Autograph Relic,2023,0,0,–,0,0,0,0,0,2,6,12,6,26
447,Topps Pristine Pristine Autograph,2023,0,0,–,0,0,1,0,1,2,6,28,132,170
448,Topps Pristine Pristine Pair Dual Autographs,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
449,Topps Pristine Pristine Personal Endorsements Autograph,2023,0,0,–,0,0,0,0,0,0,2,3,14,19
450,Topps Pristine Swings of Summer,2023,0,0,–,0,0,0,0,1,1,1,9,18,30
451,Topps Pro Debut,2023,0,0,–,0,0,0,0,0,1,0,2,7,10
452,Topps Pro Debut Future Cornerstones Autograph,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
453,Topps Pro Debut Milb Legends,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
454,Topps Pro Debut Pro Debuts Echoes,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
455,Topps PROJECT100,2023,0,0,–,0,0,0,0,0,1,11,57,38,107
456,Topps Reverence Autograph Patch,2023,4,0,–,0,0,0,2,6,8,4,0,0,24
457,Topps Shaped Sketch Cards,2023,0,0,–,0,0,0,1,0,0,0,1,0,2
458,Topps Significant Statistics,2023,0,0,–,0,0,0,0,1,3,14,22,2,42
459,Topps Silver Pack 1988 Chrome Promo,2023,9,0,–,1,0,6,9,58,40,588,"2,195","2,299","5,205"
460,Topps Sketch Cards,2023,2,0,–,0,0,1,1,0,1,0,3,0,8
461,Topps Stars of MLB,2023,2,0,–,0,0,1,3,10,15,77,471,"1,895","2,474"
462,Topps Stars of the MLB Chrome,2023,1,0,–,0,0,0,5,7,4,22,169,684,892
463,Topps Sterling Autograph Bat Knobs,2023,0,0,–,0,0,0,0,0,1,1,3,0,5
464,Topps Sterling Autograph Bat Nameplate,2023,0,0,–,0,0,0,0,0,0,1,1,0,2
465,Topps Sterling Bat Knob,2023,2,0,–,0,0,0,0,0,0,1,4,0,7
466,Topps Sterling Bat Nameplate,2023,0,0,–,0,0,0,0,0,0,1,1,1,3
467,Topps Sterling Cut Signature,2023,1,0,–,0,0,0,0,0,0,1,4,0,6
468,Topps Sterling Dual Autograph Relics,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
469,Topps Sterling Jersey Letter Patch 1/1,2023,0,0,–,0,0,0,0,0,0,2,7,9,18
470,Topps Sterling Legendary Cut Signature Relics,2023,1,0,–,0,0,0,0,0,0,0,0,0,1
471,Topps Sterling Legendary Relics,2023,0,0,–,0,0,0,0,0,0,1,0,1,2
472,Topps Sterling Sterling Debuts Autograph Relics,2023,0,0,–,0,0,0,1,0,1,1,21,18,42
473,Topps Sterling Sterling Seasons Autograph Relics,2023,1,0,–,0,0,0,0,2,2,13,56,24,98
474,Topps Sterling Sterling Sets Dual Autographs,2023,2,0,–,0,0,0,1,1,1,3,9,7,24
475,Topps Sterling Sterling Splendor Jumbo Patch Autographs,2023,0,0,–,0,0,0,0,0,0,3,8,11,22
476,Topps Sterling Sterling Strikes Autograph Relics,2023,0,0,–,0,0,0,0,1,1,5,18,2,27
477,Topps Sterling Sterling Swings Autograph Relics,2023,0,0,–,0,0,0,1,2,0,11,41,19,74
478,Topps Sterling Triple Autograph Relics,2023,0,0,–,0,0,0,0,0,0,3,3,0,6
479,Topps Team Logo Commemorative Patch,2023,0,0,–,0,0,2,2,5,6,33,86,61,195
480,Topps Team Set Arizona Diamondbacks,2023,0,0,–,0,0,0,0,2,0,2,6,42,52
481,Topps Team Set Baltimore Orioles,2023,0,0,–,0,0,0,0,0,1,1,3,2,7
482,Topps Team Set Chicago Cubs,2023,0,0,–,0,0,0,0,0,0,0,1,4,5
483,Topps Team Set Cincinnati Reds,2023,0,0,–,0,0,0,0,0,0,0,1,1,2
484,Topps Team Set Detroit Tigers,2023,0,0,–,0,0,0,0,0,0,0,0,6,6
485,Topps Team Set Kansas City Royals,2023,0,0,–,0,0,0,0,1,0,0,0,0,1
486,Topps Team Set los Angeles Angels,2023,0,0,–,0,0,0,0,0,1,3,4,4,12
487,Topps Team Set los Angeles Dodgers,2023,0,0,–,0,0,0,0,2,0,6,38,21,67
488,Topps Team Set New York Mets,2023,0,0,–,0,0,0,0,0,0,0,2,1,3
489,Topps Team Set New York Yankees,2023,0,0,–,0,0,0,0,0,0,1,5,2,8
490,Topps Team Set Seattle Mariners,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
491,Topps Team Set Tampa Bay Rays,2023,0,0,–,0,0,0,0,0,0,1,0,1,2
492,Topps Team Set Texas Rangers,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
493,Topps Throwback Thursday,2023,0,1,–,0,0,0,0,2,5,21,262,830,"1,121"
494,Topps Tier One Break Out Autographs,2023,0,0,–,0,0,0,0,0,0,0,2,0,2
495,Topps Tier One Next Level Autographs,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
496,Topps Tier One Relics Design B,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
497,Topps Tribute,2023,0,0,–,0,0,0,3,13,8,35,107,72,238
498,Topps Tribute 1954 Box Topper Buybacks,2023,1,0,–,0,0,0,0,0,0,0,0,0,1
499,Topps Tribute Autograph Patch,2023,0,0,–,0,0,0,0,0,0,7,6,1,14
500,Topps Tribute Earned Stripes Autograph Relics,2023,0,0,–,0,0,0,0,0,1,3,7,1,12
501,Topps Tribute Iconic Perspectives Autograph,2023,1,0,–,0,0,0,0,0,1,11,9,1,23
502,Topps Tribute League Inauguration Autograph,2023,1,0,–,0,0,0,1,3,1,10,20,4,40
503,Topps Tribute Milestone Relics,2023,0,0,–,0,0,0,0,1,0,3,3,0,7
504,Topps Tribute Olympus Autograph,2023,0,0,–,0,0,0,0,0,1,10,32,30,73
505,Topps Tribute Stamp of Approval Relic,2023,0,0,–,0,0,0,1,3,3,18,36,3,64
506,Topps Tribute to 1954 Box Topper 1/1,2023,1,0,–,0,0,0,0,0,0,0,0,0,1
507,Topps Tribute Tribute Autograph,2023,6,0,–,0,0,0,0,8,16,122,321,58,531
508,Topps Tribute Tribute Dual Relics Dual Player,2023,0,0,–,0,0,0,3,2,0,12,31,10,58
509,Topps Tribute Tribute Dual Relics Single Player,2023,0,0,–,0,0,0,0,0,3,3,19,7,32
510,Topps Tribute Tribute to Nicknames Autograph,2023,1,0,–,0,0,0,0,0,1,20,18,3,43
511,Topps Tribute Tribute Triple Relics,2023,0,0,–,0,0,0,0,2,3,13,40,24,82
512,Topps Update,2023,0,0,–,0,0,0,0,0,0,1,1,11,13
513,Topps Update 1988 Topps Baseball,2023,0,0,–,0,0,0,0,0,1,0,0,0,1
514,Topps Update 1988 Topps Baseball Autograph,2023,0,0,–,0,0,0,0,0,0,4,2,0,6
515,Topps Update 2023 All-Star Game,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
516,Topps Update Action Stars,2023,0,0,–,0,0,0,0,0,1,1,0,0,2
517,Topps Update Aka,2023,0,0,–,0,0,0,0,0,0,1,0,1,2
518,Topps Update All-Star Stitches,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
519,Topps Update Baseball Stars Dual Autographs,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
520,Topps Update Black Gold,2023,0,0,–,0,0,0,0,0,0,3,6,1,10
521,Topps Update Laid Out,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
522,Topps Update Major League Material,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
523,Topps Update Major League Material Autograph,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
524,Topps Update Topps Reverence Autograph Patch,2023,1,0,–,0,0,0,0,0,0,0,0,0,1
525,Topps Wbc Team Samurai Japan Set,2023,0,0,–,0,0,0,0,0,0,15,27,23,65
526,Topps Welcome to the Club,2023,0,0,–,0,0,0,0,1,2,11,47,70,131
527,Topps Welcome to the Club Autographs,2023,0,0,–,0,0,0,0,1,0,2,6,2,11
528,Topps World Baseball Classic GlobAL Stars,2023,0,0,–,0,0,0,0,1,4,10,82,386,483
529,Topps World Baseball Classic GlobAL Stars Autographs,2023,0,0,–,0,0,0,0,0,1,7,41,29,78
530,Topps World Baseball Classic GlobAL Stars Flags of A Nation,2023,0,0,–,0,0,0,0,0,0,6,45,56,107
531,Topps World Baseball Classic Team Samurai,2023,0,0,–,0,0,0,0,0,0,3,0,0,3
532,Topps World Series Champion Autograph Relics,2023,0,0,–,0,0,0,0,0,2,3,6,0,11
533,Topps World Series Champion Autographs,2023,0,0,–,0,0,0,0,0,0,4,3,0,7
534,Topps World Series Champion Relics,2023,0,0,–,0,0,0,0,1,0,1,2,0,4
535,Topps X Julio Rodriguez Show Out Collection,2023,0,0,–,0,0,0,0,1,0,3,5,19,28
536,Topps X Julio Rodriguez Show Out Collection Anime Art,2023,0,0,–,0,0,0,0,0,0,1,1,4,6
537,Topps X Julio Rodriguez Show Out Collection Fountain of Youth,2023,0,0,–,0,0,0,0,0,0,0,1,5,6
538,Topps X Julio Rodriguez Show Out Collection on-Card Autographs,2023,0,0,–,0,0,0,0,0,0,1,0,2,3
539,Topps X Julio Rodriguez Show Out Collection Rookie of the Year Award Winners,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
540,Topps X Julio Rodriguez Show Out Collection Stamped Buybacks,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
541,Topps X MLB Clubhouse Exclusive,2023,0,0,–,0,0,0,0,0,1,2,10,15,28
542,Wild Card 5 Card Draw Autographs,2023,1,0,–,0,0,0,0,1,4,17,40,17,80
543,Wild Card Auto Mania Autographs,2023,1,0,–,0,0,0,0,0,1,10,34,37,83
544,Panini Donruss the Famous San Diego Chicken,2022,0,0,–,0,0,0,0,0,0,6,3,5,14
545,Panini Donruss the Famous San Diego Chicken Contenders Signatures,2022,1,0,–,0,0,0,0,0,0,0,2,0,3
546,Panini Donruss the Hit List,2022,0,0,–,0,0,1,0,2,1,8,28,16,56
547,Panini Donruss Trending,2022,0,0,–,0,0,0,1,0,3,14,93,148,259
548,Panini Donruss Unleashed,2022,0,0,–,0,1,0,1,3,6,54,377,218,660
549,Panini Donruss Whammy!,2022,0,0,–,0,0,0,4,0,0,8,48,113,173
550,Panini Elite Extra Edition,2022,1,0,–,0,0,0,3,6,23,165,222,45,465
