,Set Name,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
413,Topps Oversized Topps Record Breakers Boxloader,0,0,–,0,0,0,0,1,1,1,5,0,8
414,Topps Oversized Topps Record Breakers Boxloader Autographs,0,0,–,0,0,0,0,0,0,1,1,0,2
415,Topps Patchwork of the Past Commemorative Patch,0,0,–,0,0,2,1,1,6,14,17,2,43
416,Topps Postseason Performance Autograph Relics,1,0,–,0,0,0,0,0,0,3,14,0,18
417,Topps Postseason Performance Autographs,0,0,–,0,0,0,0,0,0,6,2,0,8
418,Topps Postseason Performance Relics,0,0,–,0,0,0,0,0,0,5,5,0,10
419,Topps Pristine,0,0,–,0,0,1,0,4,5,9,44,252,315
420,Topps Pristine 7 Wonders,0,0,–,0,0,0,0,0,0,2,8,6,16
421,Topps Pristine Around the Diamond Autograph Relic,0,0,–,0,0,0,0,1,0,2,11,14,28
422,Topps Pristine Fresh Faces,0,0,–,0,0,0,0,2,2,1,15,36,56
423,Topps Pristine Fresh Faces Autograph,0,0,–,0,0,0,0,0,1,0,0,13,14
424,"Topps Pristine Going, Going, Gone!",0,0,–,0,0,0,0,0,0,2,11,10,23
425,"Topps Pristine Going, Going, Gone! Autograph",0,0,–,0,0,0,0,0,1,0,1,6,8
426,Topps Pristine Let's Go,0,0,–,0,0,0,0,0,1,1,0,1,3
427,"Topps Pristine Oh, Snap!",0,0,–,0,0,0,1,1,0,2,9,38,51
428,"Topps Pristine Oh, Snap! Autograph",0,0,–,0,0,0,0,0,0,1,4,11,16
429,Topps Pristine Personal Endorsements,0,0,–,0,0,0,0,0,0,0,0,2,2
430,Topps Pristine Popular Demand Autograph Relic,0,0,–,0,0,0,0,0,1,6,9,5,21
431,Topps Pristine Pristine Autograph,0,0,–,0,0,1,0,0,2,2,21,88,114
432,Topps Pristine Pristine Personal Endorsements Autograph,0,0,–,0,0,0,0,0,0,1,3,11,15
433,Topps Pristine Swings of Summer,0,0,–,0,0,0,0,1,0,1,6,16,24
434,Topps Pro Debut,0,0,–,0,0,0,0,0,1,0,1,1,3
435,Topps Pro Debut Milb Legends,0,0,–,0,0,0,0,0,0,0,1,0,1
436,Topps PROJECT100,0,0,–,0,0,0,0,0,1,11,57,38,107
437,Topps Reverence Autograph Patch,4,0,–,0,0,0,2,6,8,4,0,0,24
438,Topps Shaped Sketch Cards,0,0,–,0,0,0,1,0,0,0,1,0,2
439,Topps Significant Statistics,0,0,–,0,0,0,0,1,3,13,22,2,41
440,Topps Silver Pack 1988 Chrome Promo,9,0,–,1,0,6,9,58,40,580,"2,163","2,267","5,133"
441,Topps Sketch Cards,2,0,–,0,0,1,1,0,1,0,3,0,8
442,Topps Stars of the MLB,2,0,–,0,0,1,3,10,15,74,463,"1,861","2,429"
443,Topps Stars of the MLB Chrome,1,0,–,0,0,0,5,7,4,20,166,670,873
444,Topps Sterling Autograph Bat Knobs,0,0,–,0,0,0,0,0,1,1,3,0,5
445,Topps Sterling Autograph Bat Nameplate,0,0,–,0,0,0,0,0,0,1,1,0,2
446,Topps Sterling Bat Knob,2,0,–,0,0,0,0,0,0,1,4,0,7
447,Topps Sterling Bat Nameplate,0,0,–,0,0,0,0,0,0,1,1,1,3
448,Topps Sterling Cut Signature,1,0,–,0,0,0,0,0,0,1,4,0,6
449,Topps Sterling Dual Autograph Relics,0,0,–,0,0,0,0,0,0,0,0,1,1
450,Topps Sterling Jersey Letter Patch 1/1,0,0,–,0,0,0,0,0,0,2,7,9,18
451,Topps Sterling Legendary Cut Signature Relics,1,0,–,0,0,0,0,0,0,0,0,0,1
452,Topps Sterling Legendary Relics,0,0,–,0,0,0,0,0,0,1,0,1,2
453,Topps Sterling Sterling Debuts Autograph Relics,0,0,–,0,0,0,1,0,1,1,21,17,41
454,Topps Sterling Sterling Seasons Autograph Relics,1,0,–,0,0,0,0,2,2,11,52,24,92
455,Topps Sterling Sterling Sets Dual Autographs,2,0,–,0,0,0,1,1,1,3,9,7,24
456,Topps Sterling Sterling Splendor Jumbo Patch Autographs,0,0,–,0,0,0,0,0,0,3,8,11,22
457,Topps Sterling Sterling Strikes Autograph Relics,0,0,–,0,0,0,0,1,1,5,17,2,26
458,Topps Sterling Sterling Swings Autograph Relics,0,0,–,0,0,0,1,2,0,11,41,19,74
459,Topps Sterling Triple Autograph Relics,0,0,–,0,0,0,0,0,0,3,3,0,6
460,Topps Team Logo Commemorative Patch,0,0,–,0,0,2,2,5,6,32,84,59,190
461,Topps Team Set Arizona Diamondbacks,0,0,–,0,0,0,0,2,0,2,6,41,51
462,Topps Team Set Baltimore Orioles,0,0,–,0,0,0,0,0,1,1,3,2,7
463,Topps Team Set Chicago Cubs,0,0,–,0,0,0,0,0,0,0,1,4,5
464,Topps Team Set Cincinnati Reds,0,0,–,0,0,0,0,0,0,0,1,1,2
465,Topps Team Set Detroit Tigers,0,0,–,0,0,0,0,0,0,0,0,6,6
466,Topps Team Set Kansas City Royals,0,0,–,0,0,0,0,1,0,0,0,0,1
467,Topps Team Set los Angeles Angels,0,0,–,0,0,0,0,0,1,3,4,4,12
468,Topps Team Set los Angeles Dodgers,0,0,–,0,0,0,0,2,0,6,38,21,67
469,Topps Team Set New York Mets,0,0,–,0,0,0,0,0,0,0,2,1,3
470,Topps Team Set New York Yankees,0,0,–,0,0,0,0,0,0,1,5,2,8
471,Topps Team Set Seattle Mariners,0,0,–,0,0,0,0,0,0,1,0,0,1
472,Topps Team Set Tampa Bay Rays,0,0,–,0,0,0,0,0,0,1,0,1,2
473,Topps Team Set Texas Rangers,0,0,–,0,0,0,0,0,0,0,0,1,1
