,Set Name,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
1138,Topps Inception Inception Autographed Patch,3,0,–,0,1,0,0,4,3,32,248,545,836
1139,Topps Inception Inception Dawn of Greatness Autographs,0,0,–,0,0,0,0,0,0,0,0,11,11
1140,Topps Inception Inception Silver Signings,3,0,–,0,0,0,0,0,4,35,110,26,178
1141,Topps Inception Rookie and Emerging Stars Autographs,6,0,–,0,0,1,3,1,5,23,194,620,853
1142,Topps Inception Short Print Inception Autographs,0,0,–,0,0,0,0,0,0,0,2,6,8
1143,Topps Japan Edition,0,0,–,0,0,1,4,36,38,152,437,"1,156","1,824"
1144,Topps Japan Edition 1987 Topps Cherry Tree Variation,0,0,–,0,0,1,3,10,19,105,410,356,904
1145,Topps Japan Edition Autographs,1,0,–,0,0,0,0,0,0,13,16,8,38
1146,Topps Japan Edition MVP,2,0,–,0,0,0,0,2,11,32,52,81,180
1147,Topps Japan Edition MVP Commemorative Patch Relic,0,0,–,0,0,0,5,1,1,4,3,1,15
1148,Topps Living,9,1,–,0,1,2,4,7,17,139,"2,077","3,125","5,382"
1149,Topps Luminaries Cut Signatures,0,0,–,0,0,0,0,0,0,0,1,4,5
1150,Topps Luminaries Cut Signatures Relics,0,0,–,0,0,0,0,0,0,0,1,0,1
1151,Topps Luminaries Hit Kings Autograph Patches,0,0,–,0,0,0,0,1,1,3,7,8,20
1152,Topps Luminaries Hit Kings Autograph Relics,3,0,–,0,0,0,0,0,0,8,22,16,49
1153,Topps Luminaries Hit Kings Autographs,1,0,–,0,0,0,0,0,1,11,53,54,120
1154,Topps Luminaries Home Run Kings Autograph Patches,0,0,–,0,0,0,0,0,1,4,13,8,26
1155,Topps Luminaries Home Run Kings Autograph Relics,0,0,–,0,0,0,1,0,2,7,20,15,45
1156,Topps Luminaries Home Run Kings Autographs,4,0,–,0,0,0,0,0,1,7,49,56,117
1157,Topps Luminaries Masters of the Mound Autograph Patches,0,0,–,0,0,0,0,0,0,1,2,2,5
1158,Topps Luminaries Masters of the Mound Autograph Relics,0,0,–,0,0,0,0,0,0,4,5,3,12
1159,Topps Luminaries Masters of the Mound Autographs,0,0,–,0,0,0,0,0,0,4,5,9,18
1160,Topps Luminaries Spark of Light Autograph Relics,0,0,–,0,0,0,0,0,1,6,5,3,15
1161,Topps Luminaries Spark of Light Autographs,0,0,–,0,0,0,0,0,1,4,21,4,30
1162,Topps Luminaries Spark of Light Dual Autograph Patches,1,0,–,0,0,0,0,0,0,1,2,0,4
1163,Topps Luminaries Spark of Light Dual Autographs,1,0,–,0,0,0,0,0,0,0,2,4,7
1164,Topps Major League Material,3,0,–,0,0,1,3,2,12,42,88,75,226
1165,Topps Mini,0,0,–,0,0,0,1,1,3,29,272,512,818
1166,Topps Mini 1987 Topps,0,0,–,0,0,0,0,0,0,9,81,80,170
1167,Topps Mini Mini Base Autographs,0,0,–,0,0,0,0,0,0,1,10,33,44
1168,Topps Mint Collective,0,0,–,0,0,0,0,0,0,0,5,32,37
1169,Topps MLB 3D,0,0,–,0,0,0,0,4,6,59,338,416,823
1170,Topps MLB 3D 2022 Rookie Class Motion,0,0,–,0,0,0,1,0,1,14,167,381,564
1171,Topps MLB All-Star Game Art Collection,0,0,–,0,0,0,0,0,0,0,16,24,40
1172,Topps MLB Logo Commemorative Medallion,0,0,–,0,0,0,0,0,5,10,13,1,29
1173,Topps MLB Rookie of the Year 75th Anniversary,0,0,–,0,0,0,0,0,4,20,109,122,255
1174,Topps Museum Collection,0,0,–,0,0,1,2,15,69,256,259,52,654
1175,Topps Museum Collection Archival Autographs,9,0,–,0,0,0,1,10,32,128,104,20,304
1176,Topps Museum Collection Autographed Jumbo Lumber Bat Relics,0,0,–,0,0,0,0,1,0,3,0,0,4
1177,Topps Museum Collection Canvas Collection Originals Sketch,0,0,–,0,0,0,0,0,2,3,5,0,10
1178,Topps Museum Collection Canvas Collection Reprints,0,0,–,0,0,0,0,1,0,10,35,52,98
1179,Topps Museum Collection Dual Autographs,1,0,–,0,0,0,0,0,2,6,4,0,13
1180,Topps Museum Collection Dual Meaningful Material Relics,0,0,–,0,0,0,0,0,1,7,13,2,23
1181,Topps Museum Collection Four-Player Primary Pieces Quad Relics,0,0,–,0,0,0,0,0,0,12,29,30,71
1182,Topps Museum Collection Framed Hall of Fame Autographs,0,0,–,0,0,0,0,0,0,2,7,2,11
1183,Topps Museum Collection Jumbo Lumber Bat Nameplate Relics 1/1,1,0,–,0,0,0,0,0,0,1,1,1,4
1184,Topps Museum Collection Meaningful Materials Relics I,1,0,–,0,0,0,0,1,1,23,26,2,54
1185,Topps Museum Collection Meaningful Materials Relics II,0,0,–,0,0,0,0,0,1,11,27,12,51
1186,Topps Museum Collection MLB Authenticated Base Autograph Relics,1,0,–,0,0,0,0,0,1,3,3,0,8
1187,Topps Museum Collection MLB Authenticated Base Relics,1,0,–,0,0,0,0,0,1,3,0,1,6
1188,Topps Museum Collection Momentous Material Jumbo Patch Autographs,0,0,–,0,0,0,0,1,1,12,16,2,32
1189,Topps Museum Collection Momentous Material Jumbo Patch Relics,0,0,–,0,0,0,1,0,0,4,9,0,14
1190,Topps Museum Collection Museum Framed Autograph Patch 1/1,0,0,–,0,0,0,0,0,0,0,1,0,1
1191,Topps Museum Collection Museum Framed Autographs,1,0,–,0,0,0,0,1,2,15,42,6,67
1192,Topps Museum Collection Museum Memorabilia Laundry Tags 1/1,0,0,–,0,0,0,0,0,0,0,2,1,3
1193,Topps Museum Collection Museum Memorabilia MLB Silhouetted Batter Logo 1/1,0,0,–,0,0,0,1,0,0,1,2,0,4
1194,Topps Museum Collection Single-Player Primary Pieces Quad Relic Legends,0,0,–,0,0,0,0,0,0,4,3,1,8
1195,Topps Museum Collection Single-Player Primary Pieces Quad Relics,0,0,–,0,0,0,0,1,4,29,34,9,77
1196,Topps Museum Collection Single-Player Signature Swatches Dual Relic Autographs,6,0,–,0,0,0,2,2,10,46,72,10,148
1197,Topps Museum Collection Single-Player Signature Swatches Triple Relic Autographs,9,0,–,0,0,0,1,5,12,36,16,1,80
1198,Topps Museum Collection Superstar Showpieces Autographs,0,0,–,0,0,0,0,1,2,8,4,0,15
1199,Topps Museum Collection Triple Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
1200,Topps National Q & A Women in the Hobby X Topps,0,0,–,0,0,0,0,0,0,0,0,1,1
1201,Topps Nippon Professional Baseball,1,0,–,0,0,0,0,0,1,1,17,38,58
1202,Topps Nippon Professional Baseball 1958 Topps Baseball,0,0,–,0,0,0,0,0,0,1,6,4,11
1203,Topps Nippon Professional Baseball Animated,0,0,–,0,0,0,0,0,0,3,5,1,9
1204,Topps Nippon Professional Baseball King of the Craft,0,0,–,0,0,0,0,0,0,1,1,2,4
1205,Topps No-Hit Club,0,0,–,0,0,0,0,2,1,5,6,0,14
1206,Topps Now,55,0,–,0,0,3,5,35,36,377,"4,004","11,564","16,079"
1207,Topps Now Card of the Month,0,0,–,0,0,0,0,0,2,2,55,218,277
1208,Topps Now MLB All-Star Game,0,0,–,0,0,0,0,0,0,0,6,26,32
1209,Topps Now MLB Network's Top 100,0,0,–,0,0,0,0,2,6,22,76,58,164
1210,Topps Now Offseason,2,0,–,0,0,0,1,2,1,36,339,"1,276","1,657"
1211,Topps Now Offseason Rookie Cup MLB All-Star Rookie Team,0,0,–,0,0,0,0,2,2,8,131,544,687
1212,Topps Now Players Choice Awards,0,0,–,0,0,0,0,1,1,5,24,62,93
1213,Topps Now Postseason,1,0,–,0,0,0,0,0,1,9,117,305,433
1214,Topps Now Road to Opening Day,6,0,–,0,0,0,2,3,4,17,124,170,326
1215,Topps Now Road to Opening Day Bonus,0,0,–,0,0,0,0,0,0,1,5,19,25
1216,Topps Now Samurai Japan,0,0,–,0,0,0,0,0,0,2,28,66,96
1217,Topps Now Samurai Japan Team Set,0,0,–,0,0,0,0,0,0,0,9,9,18
1218,Topps Now Spring Training,0,0,–,0,0,0,0,0,1,1,8,10,20
1219,Topps Now Turn Back the Clock,2,0,–,0,0,0,0,4,0,6,55,75,142
1220,Topps Now World Series Champions Houston Astros,0,0,–,0,0,0,0,1,0,2,9,31,43
1221,Topps Now World Series Matchups,0,0,–,0,0,0,0,0,0,0,3,4,7
