,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10
0,Cartes de Visite,1861-01-01,14,0,–,0,2,0,0,0,0,0,0,0
1,Grand Match at Hoboken Benefit,1863-01-01,5,0,–,0,0,0,0,0,0,0,0,0
2,Peck & Snyder,1869-01-01,12,1,–,0,0,0,0,0,0,0,0,0
3,E. L. Allen Photographer Stereoscope,1870-01-01,1,0,–,0,0,0,0,0,0,0,0,0
4,Peck & Snyder,1870-01-01,3,0,–,0,0,0,0,0,0,0,0,0
5,Boston Base Ball Club Cabinet,1873-01-01,2,1,–,0,0,0,0,0,0,0,0,0
6,Isaac White Studio Carte de Visite,1876-01-01,1,0,–,0,0,0,0,0,0,0,0,0
7,Washburn & Moen Trade Card,1876-01-01,0,0,–,0,0,1,0,0,0,0,0,0
8,Boston Base Ball Cabinet-C. Webster Jeffery,1878-01-01,0,1,–,0,0,0,0,0,0,0,0,0
9,H804-16 Forbes Co. Baseball Comics,1878-01-01,3,1,–,1,0,0,0,0,0,0,0,0
10,H804-6 Forbes Co. Baseball Comics,1878-01-01,33,5,–,15,1,3,4,2,0,0,0,0
11,Estabrooke Cabinets,1879-01-01,0,0,–,0,0,0,0,0,0,0,0,0
12,Calvert Lith. Co. Trade Card,1880-01-01,0,1,–,0,0,0,0,0,0,0,0,0
13,Capadura Cigar H804-4 Baseball Comics,1880-01-01,8,5,–,17,4,5,1,0,0,0,0,0
14,H804-10 Corner Clefs Baseball Comics,1880-01-01,2,4,–,25,5,0,0,0,0,0,0,0
15,H804-13 Old Style New Style,1880-01-01,1,0,–,1,1,0,0,0,0,0,0,0
16,H804-14 Big White Shoes,1880-01-01,2,0,–,2,0,0,1,0,0,0,0,0
17,H804-14 J.T. Keefe Big White Shoes,1880-01-01,1,4,–,8,0,1,0,0,0,0,0,0
18,H804-15A Red Border Position,1880-01-01,1,2,–,3,4,5,1,0,0,0,0,0
19,H804-17 Blueish-Green,1880-01-01,2,4,–,5,0,1,0,0,0,0,0,0
20,H804-18 Red Socks,1880-01-01,0,0,–,0,0,0,0,0,0,0,0,0
21,H804-19 Horizontal Brownies,1880-01-01,0,0,–,1,1,0,0,0,0,0,0,0
22,H804-2 Brownies,1880-01-01,1,2,–,0,2,1,0,0,0,0,0,0
23,"H804-23 Tobin ""149""",1880-01-01,0,0,–,0,0,0,0,0,0,0,0,0
24,H804-26 Large Cards,1880-01-01,1,0,–,4,0,0,0,0,0,0,0,0
25,H804-2B Vertical Brownies,1880-01-01,0,0,–,0,2,0,0,0,0,0,0,0
26,H804-30 Planet Series,1880-01-01,0,1,–,0,0,0,0,0,0,0,0,0
27,"H804-32 ""9"" No Period",1880-01-01,1,1,–,1,0,0,0,0,0,0,0,0
28,H804-36 W.D. Scorecard Series,1880-01-01,1,0,–,0,0,0,0,0,0,0,0,0
29,H804-38 an Accurate Barometer Series,1880-01-01,0,1,–,1,0,0,0,0,0,0,0,0
30,H804-41 Girl Series,1880-01-01,0,1,–,0,0,0,0,0,0,0,0,0
31,H804-7 Merchant's Gargling Oil Baseball Comics,1880-01-01,5,21,–,36,13,10,6,1,0,0,0,0
32,H804-8 Sporting Life Baseball Comics,1880-01-01,1,1,–,10,0,2,4,2,0,0,0,0
33,H804-9 Baseball Comics (Others),1880-01-01,0,0,–,1,0,0,1,0,0,0,0,0
34,H804-UNC Trade Card Untitled,1880-01-01,0,1,–,1,0,0,0,0,0,0,0,0
35,Randall Cabinet,1880-01-01,0,0,–,0,0,0,0,0,0,0,0,0
36,Flodin Photographic Studio Cabinets,1880-01-01,0,0,–,0,0,0,1,0,0,0,0,0
37,Chicago Photographic Studios Cabinets,1882-01-01,2,0,–,0,0,0,0,0,0,0,0,0
38,Cosack & Co.,1882-01-01,3,9,–,22,9,15,7,4,0,0,0,0
39,Lawson's Patent Base Ball Game,1884-01-01,0,0,–,3,4,11,29,38,41,121,165,62
40,Woodward & Albee Imperial Cabinet With Ad Back,1884-01-01,0,1,–,0,0,0,0,0,0,0,0,0
41,Cabinet,1885-01-01,0,0,–,0,0,0,0,0,0,0,0,0
42,Dunwell & Ford Stationers Photocard,1885-01-01,1,0,–,0,0,0,0,0,0,0,0,0
43,Souvenir Ticket Memorial Card,1885-01-01,1,0,–,0,0,0,0,0,0,0,0,0
44,Lorillard Team Cards,1886-01-01,0,0,–,0,2,0,0,0,0,0,0,0
45,MacIntire Studios Cabinets,1886-01-01,1,0,–,0,0,0,0,0,0,0,0,0
46,N167 Old Judge New York Giants,1886-01-01,2,1,–,2,1,4,0,2,2,0,0,0
47,Souvenir Ticket Memorial Card,1886-01-01,1,0,–,0,0,0,0,0,0,0,0,0
48,Tomlinson Studios Cabinets,1886-01-01,4,0,–,0,0,0,0,0,0,0,0,0
49,Ely Photo Cabinet,1887-01-01,1,0,–,0,0,0,0,0,0,0,0,0
50,Four Base Hits,1887-01-01,2,0,–,0,0,0,1,0,0,0,0,0
51,H804-24 Ball,1887-01-01,0,0,–,0,0,0,0,0,0,0,0,0
52,N172 Old Judge,1887-01-01,771,606,–,852,456,592,513,354,191,77,7,0
53,N175 Gypsy Queens,1887-01-01,4,5,–,5,4,1,1,2,1,0,0,0
54,N284 Gold Coin,1887-01-01,41,57,–,116,93,79,68,39,11,3,0,0
55,N370 Lone Jack,1887-01-01,0,0,–,1,0,1,0,0,0,0,0,0
56,N690 Kalamazoo Bats,1887-01-01,0,0,–,1,0,0,0,0,0,0,0,0
57,N690-1 Kalamazoo Bats Cabinets,1887-01-01,6,0,–,5,1,1,2,1,0,0,0,0
58,N693 Kalamazoo Bats Team Card,1887-01-01,5,0,–,0,0,2,0,1,0,0,0,0
59,Tobin Lithographs Black & White,1887-01-01,0,0,–,0,1,3,0,0,0,0,0,0
60,Tobin Lithographs Color,1887-01-01,15,2,–,6,3,4,1,0,0,0,0,0
61,Tomlinson Studios Cabinets,1887-01-01,1,0,–,1,0,1,0,0,0,0,0,0
62,Waltermire/Keith Bros. Cabinets,1887-01-01,0,0,–,0,0,0,0,0,0,0,0,0
63,Baseball Currency,1887-01-01,6,2,–,1,0,0,0,0,0,0,0,0
64,Allen & Ginter Girl Baseball Players N48 Type 1,1888-01-01,0,0,–,1,0,0,0,0,0,0,0,0
65,Allen & Ginter Girl Baseball Players N48 Type 2,1888-01-01,6,1,–,6,3,5,2,3,0,0,0,0
66,Bufford Sons Baseball Comics,1888-01-01,2,1,–,4,2,11,1,0,0,0,0,0
67,Cabinet,1888-01-01,1,0,–,0,1,0,0,0,0,0,0,0
68,Conly Cabinets,1888-01-01,0,0,–,1,0,0,0,0,0,0,0,0
69,F. W. Guerin Cabinets,1888-01-01,0,0,–,0,1,0,0,0,0,0,0,0
70,G & B Chewing Gum,1888-01-01,0,0,–,1,0,0,0,0,0,1,1,0
71,G. H. Hastings,1888-01-01,0,0,–,0,0,1,0,0,0,0,0,0
72,HB3 Baseball Bank,1888-01-01,1,0,–,0,0,0,0,0,0,0,0,0
73,Heyn Cabinets,1888-01-01,0,0,–,0,0,0,0,0,0,0,0,0
74,Joseph Hall Cabinets,1888-01-01,1,0,–,0,0,1,0,0,0,0,0,0
75,Joseph Hall Imperial Cabinets,1888-01-01,1,1,–,0,0,0,0,0,0,0,0,0
76,N154 Duke Sons & Company Presidential Baseball Club,1888-01-01,4,3,–,2,1,3,3,0,1,0,0,0
77,N173 Old Judge Cabinets,1888-01-01,29,4,–,3,7,10,4,1,1,0,0,0
78,N333 Newsboys League,1888-01-01,1,0,–,3,2,4,2,1,0,0,0,0
79,N403 Yum Yum Tobacco,1888-01-01,0,1,–,0,1,1,1,0,0,0,0,0
80,Old Judge Metamorphic Card,1888-01-01,0,0,–,0,0,0,0,0,0,0,0,0
81,R & S Artistic Series Baseball,1888-01-01,45,16,–,131,17,31,58,38,14,34,16,0
82,Scrapps Tobacco,1888-01-01,16,80,–,97,0,2,2,1,0,0,0,0
83,Sporting Times Cigar,1888-01-01,3,0,–,0,0,0,0,0,0,0,0,0
84,WG1 Card Game,1888-01-01,4,8,–,11,6,28,72,50,9,6,0,0
85,A35 Goodwin & Co. Baseball Album,1889-01-01,0,8,–,4,1,0,0,0,0,0,0,0
86,E.R. Williams Card Game,1889-01-01,7,2,–,2,3,15,19,41,34,41,8,0
87,G. Waldon Smith Boston Beaneaters Cabinets,1889-01-01,0,0,–,0,0,0,0,0,0,0,0,0
88,H804-1 Tobin Lithographs Baby Talk Series,1889-01-01,4,7,–,9,13,1,1,0,0,0,0,0
89,N338-2 S.F. Hess,1889-01-01,0,1,–,1,0,1,1,0,0,0,0,0
90,N526 Number 7 Cigars / Diamond S Cigars,1889-01-01,2,2,–,5,6,6,7,1,0,0,0,0
91,Police Gazette Cabinets,1889-01-01,0,0,–,0,1,0,0,0,0,0,0,0
92,G. Waldon Smith Cabinets,1890-01-01,0,0,–,0,0,0,0,0,0,0,0,0
93,G. Waldon Smith Players League Cabinets,1890-01-01,0,0,–,0,0,1,1,0,0,0,0,0
94,MacIntire Bros. Cabinets,1890-01-01,0,0,–,0,0,0,0,0,0,0,0,0
95,N360 S.W. Venable Tobacco Base Ball Scenes,1890-01-01,3,1,–,2,1,4,3,3,0,0,0,0
96,Stevens Studio Chicago White Stockings Cabinets,1890-01-01,1,0,–,0,0,0,0,0,0,0,0,0
97,John H. Ryder Cabinets,1890-01-01,0,0,–,0,0,0,0,0,0,0,0,0
98,Conly Studio Cabinets,1891-01-01,8,0,–,1,0,1,3,1,0,0,0,0
99,John H. Ryder Cabinets,1891-01-01,0,1,–,1,0,0,0,0,0,0,0,0
100,Just So Tobacco,1893-01-01,1,0,–,0,0,0,1,1,0,0,0,0
101,Pifer & Becker Cabinets,1893-01-01,0,3,–,1,0,0,0,2,2,0,0,0
102,McLoughlin Bros. Amusement for Boys to Cut Out Die-Cut,1894-01-01,0,0,–,0,0,0,0,0,0,0,0,0
103,N300 Mayo's Cut Plug,1895-01-01,100,88,–,115,72,67,47,20,2,2,0,0
104,N566 Newsboy Cabinets,1895-01-01,8,0,–,1,1,1,0,0,0,0,0,0
105,Pifer & Becker Cabinets,1895-01-01,0,0,–,0,0,0,0,0,0,0,0,0
106,Hassan and Tokio Cigarette Cartoon Pins,1896-01-01,0,0,–,0,0,1,0,0,0,1,0,0
107,N301 Mayo's Die-Cuts,1896-01-01,1,1,–,6,7,9,12,14,7,17,11,1
108,Ad Card,1896-01-01,2,0,–,0,0,0,0,0,0,0,0,0
109,Campbell Studio Cabinets,1896-01-01,1,0,–,0,0,0,0,0,0,0,0,0
110,Elmer Chickering Cabinets Boston National League,1897-01-01,1,0,–,0,0,0,0,0,0,0,0,0
111,Theordore C. Marceau Cabinets,1897-01-01,0,0,–,1,0,0,0,0,0,0,0,0
112,Foster Studio Cabinets,1897-01-01,0,0,–,0,1,0,0,0,0,0,0,0
113,Henry Reccius Cigars,1897-01-01,0,2,–,0,0,0,0,0,0,0,0,0
114,Cameo Pepsin Gum Pins,1898-01-01,1,0,–,3,3,2,4,2,2,0,0,0
115,M101-1 Sporting News Supplements,1899-01-01,2,0,–,0,0,0,0,0,0,0,0,0
116,H804-5 Baseball Comics,1900-01-01,2,2,–,5,3,0,0,0,0,0,0,0
117,T203 Mayo's Baseball Comics,1900-01-01,1,35,–,55,39,31,24,6,0,0,0,0
118,Weiser Wonder Postcard,1901-01-01,1,0,–,0,0,0,0,0,0,0,0,0
119,American Lithograph Co.,1902-01-01,0,0,–,0,1,0,0,0,0,0,0,0
120,W600 Sporting Life Cabinets,1902-01-01,25,16,–,23,14,38,47,32,6,12,0,0
121,E107 Type 1,1903-01-01,10,29,–,41,18,35,6,2,0,1,0,0
122,E107 Type 2,1903-01-01,6,0,–,0,0,0,0,0,0,0,0,0
123,Allegheny Card CO Hand Cut,1904-01-01,0,0,–,0,0,0,2,3,4,7,0,0
124,Anonymous Studio Cabinets,1904-01-01,1,0,–,0,0,0,0,0,0,0,0,0
125,Pittsburg Leader Honus Wagner Schedule,1904-01-01,0,0,–,0,1,0,0,0,0,0,0,0
126,Rotograph Co. Postcards,1904-01-01,1,0,–,0,0,1,0,0,0,0,0,0
127,N.Y. Giants Scorecard Postcard,1905-01-01,2,0,–,3,5,0,3,0,0,0,0,0
128,"Philadelphia ""Athletics"" Post Card",1905-01-01,2,1,–,0,1,1,0,1,0,0,0,0
129,Raymond Kahn Co. Postcard,1905-01-01,1,0,–,0,0,0,0,0,0,0,0,0
130,Rotograph Postcards,1905-01-01,0,0,–,2,0,0,0,0,0,0,0,0
131,Souvenir Post Card Shop of Cleveland,1905-01-01,0,0,–,0,0,0,2,0,0,0,0,0
132,Columbus Dispatch Postcards,1906-01-01,0,1,–,0,0,0,0,0,0,0,0,0
133,F.P. Burke Postcard,1906-01-01,3,0,–,0,0,0,0,0,0,0,0,0
134,Fan Craze A.L.,1906-01-01,5,11,–,25,39,120,119,138,197,292,213,77
135,Fan Craze N.L.,1906-01-01,3,11,–,41,20,59,124,110,213,526,325,24
136,Independence Ball Team Postcards,1906-01-01,0,1,–,0,0,0,0,0,0,0,0,0
137,Lincoln Publishing Philadelphia A's,1906-01-01,2,13,–,1,0,0,0,0,0,0,0,0
138,PC792 Embossed Baseball Postcards,1906-01-01,7,0,–,2,0,11,17,16,1,1,0,0
139,Sporting Life Team Composite Postcard,1906-01-01,1,1,–,4,14,11,6,0,0,0,0,0
140,Ullman Postcards,1906-01-01,1,0,–,2,0,0,0,0,0,0,0,0
141,V.O. Hammon Postcards,1906-01-01,9,0,–,1,3,4,1,2,0,0,0,0
142,Willis W. Russell Card Co. the Base-Ball Boys,1906-01-01,0,0,–,0,0,1,0,0,0,0,0,0
143,Anonymous Postcards,1907-01-01,1,0,–,0,0,0,0,0,0,0,0,0
144,Bachrach & Bro. Post Card,1907-01-01,0,0,–,0,0,0,0,0,0,0,0,0
145,Chicago Cubs Post Card,1907-01-01,0,0,–,0,0,0,0,0,0,0,0,0
146,Dietsche Chicago Cubs Postcards,1907-01-01,1,0,–,3,11,31,25,11,2,3,0,0
147,F.P. Burke Postcard,1907-01-01,1,1,–,0,2,1,0,0,0,0,0,0
148,Geo. W. Hull White Sox Postcards,1907-01-01,1,1,–,0,2,9,12,12,0,0,0,0
149,Grignon Postcard Chicago Cubs,1907-01-01,10,0,–,3,10,6,1,0,0,0,0,0
150,Heimer Postcard,1907-01-01,1,0,–,0,0,0,0,0,0,0,0,0
151,Morgan Stationery Red Belt Postcards,1907-01-01,14,0,–,1,1,3,4,2,0,0,0,0
152,Raymond Kahn Co. Postcard,1907-01-01,2,0,–,1,0,0,0,0,0,0,0,0
153,Real Photo Postcard,1907-01-01,3,0,–,2,1,0,0,0,0,0,0,0
154,Simplicity Co. World Series Postcard,1907-01-01,1,1,–,1,0,0,0,0,0,0,0,0
155,Wolverine News Co. Detroit Tigers,1907-01-01,13,1,–,2,28,18,9,0,0,0,0,0
156,Dietsche Detroit Tigers Postcards,1907-01-01,23,9,–,52,97,116,87,33,1,0,0,0
157,H.M.Taylor Detroit Tigers Postcard,1907-01-01,26,3,–,4,10,8,6,0,1,1,0,0
158,American League Pub. Co. Postcard,1908-01-01,1,7,–,1,3,3,1,1,0,0,0,0
159,Colonial Postcard Co.,1908-01-01,1,0,–,0,0,0,0,0,0,0,0,0
160,Cubs/White Sox Postcards,1908-01-01,0,0,–,2,1,0,0,0,0,0,0,0
161,Detroit Free Press Tigers Postcards,1908-01-01,6,0,–,1,0,1,0,2,3,2,0,0
162,E91 American Caramel Set A,1908-01-01,19,63,–,79,69,72,39,16,2,0,0,0
163,Fuller Bros. Postcards,1908-01-01,0,0,–,1,0,0,0,0,0,0,0,0
164,General Photo Co. St. Louis Browns Postcards,1908-01-01,0,1,–,0,0,0,0,0,0,0,0,0
165,George E. Wright Postcard,1908-01-01,1,0,–,1,0,1,0,0,0,0,0,0
166,R.C. Williams Postcard,1908-01-01,0,0,–,1,1,1,0,0,0,0,0,0
167,Victor Publishing Cy Young,1908-01-01,0,0,–,0,1,0,0,0,0,0,0,0
168,Rose Company Postcard,1908-01-01,27,3,–,9,13,12,8,8,4,0,0,0
169,Brush Detroit Tigers Postcards,1908-01-01,0,0,–,0,1,3,4,0,0,0,0,0
170,Bregstone Postcards,1908-01-01,5,0,–,1,2,10,3,0,0,0,0,0
171,Colgan's Chips Square Proofs,1909-01-01,6,2,–,2,0,0,0,0,0,0,0,0
172,Colgan's Chips Stars of the Diamond,1909-01-01,14,229,–,404,169,325,351,314,231,322,109,2
173,Cuban Cabanas,1909-01-01,0,2,–,5,9,12,7,1,0,0,0,0
174,E101 'Set of 50',1909-01-01,50,190,–,152,132,115,29,8,6,0,0,0
175,E102 Set of 25,1909-01-01,79,147,–,111,71,107,82,43,7,4,0,0
176,E90-1 American Caramel,1909-01-01,228,980,–,"1,201",878,778,307,161,35,14,0,0
177,E91 American Caramel Set B,1909-01-01,29,125,–,120,117,92,56,17,3,0,0,0
178,E92 Blank Back,1909-01-01,0,0,–,0,0,0,0,0,0,0,0,0
179,E92 Blank Back Hand Cut (No Longer Grade/Authentic),1909-01-01,0,0,–,0,1,1,1,0,0,0,0,0
180,E92 Croft's Candy,1909-01-01,15,28,–,32,55,45,23,18,10,3,1,0
181,E92 Croft's Cocoa,1909-01-01,17,8,–,14,25,6,8,2,0,0,0,0
182,E92 Dockman & Sons,1909-01-01,75,261,–,274,196,224,119,81,47,18,1,0
183,E92 Nadja Caramels,1909-01-01,5,29,–,27,28,55,84,41,6,0,0,0
184,E95 Philadelphia Caramel,1909-01-01,140,331,–,434,331,362,189,95,37,10,0,0
185,E97 Black & White,1909-01-01,13,8,–,5,1,0,0,0,0,0,0,0
186,E97 CA Briggs Co.,1909-01-01,19,79,–,100,83,68,53,21,12,3,0,0
187,German Baseball Stamps,1909-01-01,4,1,–,6,3,1,0,3,3,0,0,0
188,Max Stein Postcard,1909-01-01,2,1,–,2,3,4,0,0,0,0,0,0
189,Morton's Buster Brown Bread Tigers Pins,1909-01-01,0,0,–,1,3,0,3,5,2,1,2,0
190,S. & H. Green Stamps Pittsburg Pirates,1909-01-01,1,0,–,0,0,1,0,0,0,0,0,0
191,T204 Ramly,1909-01-01,157,228,–,329,339,428,552,370,167,54,1,0
192,Topping & Co. Detroit Tigers Postcards,1909-01-01,22,6,–,5,9,17,5,1,0,0,0,0
193,W.W. Smith Postcards,1909-01-01,1,0,–,0,0,0,0,0,0,0,0,0
194,W555,1909-01-01,12,11,–,22,13,23,33,29,13,15,2,0
195,M101-2 Sporting News Supplements,1909-01-01,49,124,–,47,16,10,5,0,0,0,0,0
196,All Star Base-Ball Hand Cut,1910-01-01,7,0,–,0,0,0,0,0,0,0,0,0
197,Baseball Positions,1910-01-01,0,0,–,0,0,0,0,0,1,0,0,0
198,E103 Williams Caramels,1910-01-01,26,88,–,97,76,42,15,5,1,0,0,0
199,E104-1 Nadja Philadelphia Athletics,1910-01-01,5,18,–,22,15,14,4,3,1,0,0,0
200,E104-2 Nadja Caramel Pittsburgh Pirates,1910-01-01,0,5,–,8,3,2,0,0,0,0,0,0
201,E104-3 Nadja Caramel,1910-01-01,3,7,–,4,2,1,0,0,0,0,0,0
202,E105 Mello-Mint,1910-01-01,12,72,–,44,44,51,25,18,14,0,0,0
203,E125 American Caramel Die-Cuts,1910-01-01,30,10,–,9,9,8,3,0,1,0,0,0
204,E286 JU-JU Drums,1910-01-01,0,13,–,11,4,4,3,1,0,2,0,0
205,E90-2 American Caramel Pirates,1910-01-01,16,78,–,54,52,34,31,8,1,0,0,0
206,E90-3 American Caramel W.S./Cubs,1910-01-01,17,57,–,56,33,35,34,19,6,0,0,0
207,E91 American Caramel Set C,1910-01-01,46,149,–,169,114,106,48,24,5,2,0,0
208,E93 Standard Caramel,1910-01-01,69,303,–,282,291,293,245,128,50,32,13,0
209,E96 Philadelphia Caramel,1910-01-01,32,200,–,219,151,155,68,44,10,0,0,0
210,E98 Set of 30,1910-01-01,84,261,–,262,119,111,103,98,291,424,192,11
211,E-UNC Candy Hand Cut,1910-01-01,2,0,–,1,0,0,0,0,0,0,0,0
212,H. C. Hubel Postcard,1910-01-01,0,0,–,0,1,0,0,0,0,0,0,0
213,Hopkins Bros. Postcard,1910-01-01,1,0,–,0,0,0,0,0,0,0,0,0
214,Morton's Buster Brown Bread Tigers Pins (PD2),1910-01-01,0,0,–,0,0,0,0,1,1,0,0,0
215,Morton's Pennant Winner Bread Tigers Pins,1910-01-01,3,0,–,0,1,9,7,6,11,3,1,0
216,Notebook Covers Color,1910-01-01,2,0,–,0,0,0,0,0,0,0,0,0
217,Novelty Cutlery Postcard,1910-01-01,4,2,–,7,15,12,20,11,0,0,0,0
218,Orange Borders Hand Cut,1910-01-01,40,9,–,1,1,1,0,0,0,0,0,0
219,PC796 Sepia Postcards,1910-01-01,1,7,–,11,9,10,4,3,0,0,0,0
220,PC798-10 Comic Sports Roth & Langley Baseball Lovers Postcards,1910-01-01,0,0,–,0,0,0,0,0,0,0,0,0
221,PC798-58 Comic Sports Baseball Lovers Postcards,1910-01-01,0,0,–,1,0,0,0,0,0,0,0,0
222,PC798-9 Comic Sports Baseball Lovers Postcards,1910-01-01,1,0,–,0,0,0,0,0,0,0,0,0
223,Pittsburgh Gazette Times Honus Wagner Postcard,1910-01-01,2,0,–,0,0,0,0,0,0,0,0,0
224,Punch Cigarros,1910-01-01,37,1,–,0,0,0,0,0,0,0,0,0
225,T213 Coupon Cigs. Type 1,1910-01-01,16,55,–,26,9,7,0,0,0,0,0,0
226,T215 Red Cross-Type 1,1910-01-01,2,21,–,8,3,6,2,2,0,1,0,0
227,Tip-Top Bread Pittsburgh Pirates,1910-01-01,21,102,–,81,61,56,32,16,7,0,0,0
228,Washington Times,1910-01-01,0,0,–,2,1,3,0,0,0,0,0,0
229,W-UNC Strip Cards,1910-01-01,16,26,–,5,0,1,0,0,0,0,0,0
230,Plow Boy Tobacco,1910-01-01,1,1,–,2,2,8,2,0,0,0,0,0
231,Baseball Magazine Player Posters,1910-01-01,3,11,–,4,0,1,0,0,0,0,0,0
232,Baltimore News Newsboys Series,1911-01-01,1,8,–,4,8,1,0,0,0,0,0,0
233,Baseball Bats Hand Cut,1911-01-01,5,0,–,1,0,0,0,0,0,0,0,0
234,Blome Chocolates,1911-01-01,0,1,–,1,0,0,0,0,0,0,0,0
235,D304 General Baking Co.,1911-01-01,20,96,–,57,85,74,51,22,11,11,0,0
236,D359 Rochester Baking,1911-01-01,7,12,–,4,12,4,6,0,0,0,0,0
237,D359 Williams Baking,1911-01-01,0,9,–,6,4,15,16,12,2,1,0,0
238,Diamond Gum Pins (PE2),1911-01-01,1,0,–,1,3,8,29,27,8,4,2,0
239,E94 Close Candy,1911-01-01,37,157,–,137,129,99,44,31,20,6,0,1
240,Helmar Stamps T332,1911-01-01,23,20,–,31,10,16,10,4,1,0,0,0
241,"Jones, Keyser & Arras Cabinets",1911-01-01,3,0,–,0,0,0,0,0,0,0,0,0
242,M110 Sporting Life Cabinets,1911-01-01,9,10,–,11,2,6,4,1,0,0,0,0
243,M116 Sporting Life,1911-01-01,2,0,–,0,0,0,0,0,0,0,0,0
244,M116 Sporting Life,1911-01-01,89,157,–,593,376,841,"1,214","1,333","1,016",793,123,2
245,Monarch Typewriter Philadelphia A's,1911-01-01,0,3,–,0,0,0,0,0,0,0,0,0
246,Stevens Firearms Philadelphia Athletics,1911-01-01,0,0,–,0,0,1,0,0,0,0,0,0
247,T201 Mecca Double Folders,1911-01-01,58,767,–,"1,410","1,393","2,114","2,222",946,429,266,13,0
248,T205 Gold Border,1911-01-01,816,"3,969",–,"6,065","6,506","9,747","6,738","3,106",947,181,4,0
249,T208 Cullivan's Fireside Philadelphia A's,1911-01-01,3,6,–,4,6,3,0,0,0,0,0,0
250,T5 Pinkerton Cabinets,1911-01-01,55,0,–,1,1,1,0,0,0,0,0,0
251,Turkey Red Cabinets T3 & T9,1911-01-01,440,793,–,688,793,"1,439","1,326",304,35,2,0,0
252,T216 People's Tobacco,1911-01-01,38,91,–,63,27,17,6,1,0,0,0,0
253,Boston American Series Red Sox Postcard,1912-01-01,1,0,–,1,2,1,0,0,0,0,0,0
254,Boston Daily American Souvenir Postcard,1912-01-01,0,0,–,0,0,0,0,0,0,0,0,0
255,Boston Red Sox Tattoos,1912-01-01,1,0,–,0,1,1,0,0,0,0,0,0
256,C46 Imperial Tobacco,1912-01-01,0,1,–,5,8,3,0,2,0,0,0,0
257,Colgan's Chips Red Border,1912-01-01,4,21,–,23,12,14,11,15,5,0,0,0
258,E300 Plow's Candy,1912-01-01,2,9,–,5,9,9,35,19,22,11,0,0
259,Harpers Whiskey,1912-01-01,0,0,–,0,1,0,0,0,0,0,0,0
260,La Azora Detroit Tigers Schedule,1912-01-01,0,1,–,0,0,0,0,0,0,0,0,0
261,PC798-2 Comic Sports Baseball Plays Off the Diamond Postcards,1912-01-01,1,0,–,0,0,0,0,0,0,0,0,0
262,Photo Art Shop Boston Red Sox,1912-01-01,0,0,–,1,0,1,1,1,0,0,0,0
263,Riker & Hegeman Postcard,1912-01-01,0,0,–,0,0,0,1,1,0,0,0,0
264,Robert Robinson Postcards,1912-01-01,3,1,–,1,0,0,0,0,0,0,0,0
265,T202 Hassan Triple Folder,1912-01-01,104,612,–,"1,097",985,"1,945","2,833","1,528",855,310,4,0
266,T207 Brown Background,1912-01-01,210,730,–,"1,366","1,462","2,197","1,377",736,202,28,1,0
267,T215 Pirate Cigarettes,1912-01-01,10,0,–,0,0,0,0,1,0,0,0,0
268,T215 Red Cross-Type 2,1912-01-01,3,30,–,19,2,2,1,1,0,0,0,0
269,W-UNC Strip Cards Hand Cut,1912-01-01,11,1,–,3,2,2,0,0,0,0,0,0
270,Colgan's Chips Tin Tops,1912-01-01,0,18,–,11,11,10,8,5,5,3,0,0
271,Walter Johnson Birthplace & Boyhood Postcard,1912-01-01,0,0,–,0,0,0,0,0,0,0,0,0
272,Baseball Player Stamps,1913-01-01,0,0,–,1,1,1,0,0,0,0,0,0
273,Boston Garter,1913-01-01,0,0,–,0,0,0,1,0,0,0,0,0
274,Fenway Breweries/Tom Barker Game,1913-01-01,0,0,–,1,1,3,1,1,1,1,0,0
275,M101-3 Sporting News Postcards,1913-01-01,3,3,–,2,5,4,5,0,0,0,0,0
276,Napoleon Lajoie Card Game,1913-01-01,0,2,–,4,3,23,33,48,38,99,140,68
277,National Game,1913-01-01,4,6,–,30,63,197,205,214,375,876,572,77
278,T200 Fatima Team,1913-01-01,76,378,–,356,263,249,160,22,8,1,0,0
279,Tom Barker Game,1913-01-01,2,6,–,23,30,141,195,130,182,355,226,55
280,Voskamp's Coffee Pittsburg Pirates,1913-01-01,0,4,–,6,8,5,1,0,0,0,0,0
281,World Tour Postcard,1913-01-01,0,0,–,0,0,0,1,0,0,0,0,0
282,W530 Pinkerton Score/Photo/Postcard,1913-01-01,7,1,–,3,7,2,2,2,0,0,0,0
283,Baltimore News Team Card With Babe Ruth,1914-01-01,1,0,–,0,0,0,0,0,0,0,0,0
284,Baltimore News Terrapins,1914-01-01,0,1,–,0,0,0,0,0,0,0,0,0
285,Boston Garter-Color,1914-01-01,0,1,–,0,1,0,0,0,0,0,0,0
286,Boston Garter-Sepia,1914-01-01,3,0,–,0,0,0,0,0,0,0,0,0
287,Cracker Jack,1914-01-01,191,803,–,935,871,756,508,251,136,81,2,0
288,E. & S. Publishing Co.,1914-01-01,2,1,–,2,1,0,3,2,0,0,0,0
289,E224 Texas Tommy Type 2-Blank Back,1914-01-01,2,0,–,0,0,0,4,3,0,0,0,0
290,Piedmont Art Stamps,1914-01-01,6,20,–,18,5,3,4,0,0,0,0,0
